Population LAT LONG ELEVATION
Pi_1 55.06 -118.73 670
Pi_2 49.66 -110.25 1160
Pi_3 54.71 -115.41 1160
Pi_5 54.65 -118.83 1021
Pi_6 54.41 -119 1189
Pi_7 55.63 -113.45 914
Pi_8 59.7 -117.98 731
Pi_9 49.91 -114.08 1432
Pi_10 51.33 -114.58 1371
Pi_11 52.16 -115.66 1676
Pi_12 53.08 -115.5 975
Pi_13 55.25 -116.16 792
Pi_14 56.16 -118.5 609
Pi_15 56.25 -118.91 609
Pi_16 55.08 -119.41 701
Pi_17 52.63 -116.08 1520
Pi_18 53.2 -117.53 1360
Pi_19 53.73 -116.58 1000
Pi_20 53.5 -116.16 1090
Pi_21 50.66 -115.08 1860
Pi_22 58.75 -115.41 825
Pi_23 54.03 -116.06 990
Pi_24 52.96 -115.91 1067
Pi_25 53.88 -116.83 1069
Pi_26 58.63 -118.8 625
Pi_27 56.55 -119.86 945
Pi_28 57.76 -116.53 755
Pi_29 53.68 -115.83 835
Pi_30 49.66 -110.16 1299
Pi_31 49.63 -114.63 1364
Pi_32 49.86 -114 1662
Pi_33 55.71 -119.66 791
Pi_34 56.7 -119.2 1025
Pi_35 56.33 -119.95 742
Pi_36 54.76 -119.4 1016
Pi_37 54.55 -119.2 1162
Pi_38 52.65 -115.1 940
Pi_39 52.5 -115.51 1152
Pi_40 52.07 -115.48 1655
Pi_41 52.17 -115.43 1476
Pi_42 51.95 -115.21 1392
Pi_43 57.72 -119.54 964
Pi_44 53.94 -119.31 1393
Pi_45 53.91 -118.91 1207
Pi_46 53.83 -119.61 1713
Pi_47 54.26 -116.86 900
Pi_48 58.56 -119.3 645
Pi_49 57.28 -118.4 699
Pi_50 57.23 -118.25 725
Pi_51 54.36 -116.18 940
Pi_52 55.01 -115.17 902
Pi_53 54.83 -116.44 905
Pi_54 52.5 -116.02 1586
Pi_55 55.52 -113.97 853
Pi_56 49.73 -114.44 2042
Pi_57 56.63 -119.2 1030
Pi_58 57.32 -118.96 992
Pi_59 54.74 -117.39 809
