gcontig pos_gcontig XTX_rank
C10039563 75 773.57
C10039563 81 454.09
C10306803 79 313.87
C10306803 84 280.36
C10306803 86 315.44
C10306803 94 363.73
C10306803 103 320.73
C10306803 115 362.99
C10306803 124 285.4
C10382015 38 294.25
C10382015 114 298.11
C10508875 59 288.94
C10557507 17 287.3
C10557507 30 266.03
C10557507 37 285.43
C10557507 40 285.11
C10557507 48 259.7
C10557507 49 269.37
C10557507 50 286.9
C10557507 52 492.45
C10557507 58 276.79
C10557507 59 764.51
C10557507 63 295.02
C10557507 64 413.26
C10557507 66 1218.5
C10557507 85 321.99
C10557507 90 757.26
C10557507 100 279.7
C10557507 122 426.71
C10557507 132 294.58
C10557507 139 271.83
C10572747 9 334.39
C10572747 20 257.36
C10572747 25 282.12
C10572747 31 326.42
C10572747 35 611.61
C10572747 48 1098.2
C10572747 70 326.85
C10572747 80 449.3
C10572747 101 509.51
C10572747 113 275.55
C10741449 28 316.84
C10741449 41 268.99
C10741449 45 292.8
C10741449 58 1870.9
C10741449 67 281.97
C10741449 85 279.05
C10741449 94 357.76
C10741449 112 275.14
C10964937 25 320.63
C10964937 43 432.89
C10964937 66 271.47
C10964937 74 435.83
C10964937 83 282.88
C10964937 85 424.21
C10964937 93 364.42
C10964937 105 287.78
C10964937 110 380.8
C10964937 129 320.22
C10964937 135 321.15
C10968895 127 296.07
C11015455 89 1409.9
C11015455 102 268.99
C11015455 103 277.82
C11015455 108 278.19
C11136061 29 262.95
C11136061 32 553.8
C11136061 64 291.51
C11136061 73 299.05
C11136061 76 286.91
C11136061 102 275.18
C11136061 107 345.52
C11136061 116 432.9
C11136061 129 307.14
C11136061 131 274.74
C11223481 21 306.08
C11223481 54 830.74
C11223481 58 926.7
C11223481 101 309.85
C11223481 144 286.43
C11223481 152 271.09
C11256489 69 330.03
C11256489 80 317.35
C11256489 92 357.37
C11256489 94 456.3
C11256489 99 286.4
C11256489 116 413.3
C11379911 61 300.22
C11379911 67 328.83
C11379911 85 278.16
C11379911 89 300.7
C11379911 102 275.68
C11379911 155 367.94
C11456133 7 266.49
C11456133 10 268.49
C11456133 22 268.98
C11456133 23 723.58
C11456133 26 298.38
C11456133 31 885.19
C11456133 64 519.74
C11456133 65 287.38
C11456133 92 281.99
C11456133 137 634.38
C11456133 144 334.2
C11475867 12 277.41
C11475867 17 707.28
C11475867 22 275.92
C11475867 40 697.74
C11475867 45 264.72
